Rendah,PPD KINTA UTARA,ABA2042,SK GURU KALGIDHAR,"JALAN GUNTONG,BUNTONG",30100,IPOH,PERAK,52413269,52413269
Rendah,PPD KINTA UTARA,ABA2043,SK MANJOI (DUA),JALAN MASJID KG. MANJOI,30020,IPOH,PERAK,55265441,55268129
Rendah,PPD KINTA UTARA,ABA2044,SR PENDIDIKAN KHAS IPOH,"JALAN KUALA KANGSAR, ANJUNG TAWAS",31200,CHEMOR,PERAK,52910310,52910311
Rendah,PPD KINTA UTARA,ABA2045,SK JELAPANG,TAMAN MERU,30020,IPOH,PERAK,55265553,55285158
Rendah,PPD KINTA UTARA,ABA2046,SK DATO' AHMAD SAID TAMBAHAN,LEBUH RAJAWALI,30020,IPOH,PERAK,55268889,55268889
Rendah,PPD KINTA UTARA,ABA2047,SK POS RAYA,JALAN CAMERON HIGHLANDS,31300,KG KEPAYANG,PERAK,195596468,195584473
Rendah,PPD KINTA SELATAN,ABA2048,SK POS DIPANG,SAHOM,31920,KAMPAR,PERAK,TIADA,TIADA
Rendah,PPD KINTA UTARA,ABA2049,SK SERI TANJUNG,TANJUNG RAMBUTAN,31250,TANJONG RAMBUTAN,PERAK,195715633,TIADA
Rendah,PPD KINTA UTARA,ABA2050,SK SERI AMPANG,JLN RAJA MUSA MAHADI,31350,IPOH,PERAK,53120663,53126046
Rendah,PPD KINTA UTARA,ABA2051,SK JALAN PEGOH,"LRG. PEGOH 4, TMN. PENGKALAN JAYA",31650,IPOH,PERAK,53214701,53220982
Rendah,PPD KINTA UTARA,ABA2052,SK SERI KELEBANG,KG SERI KELEBANG,31200,CHEMOR,PERAK,52916844,52924485
Rendah,PPD KINTA UTARA,ABA2053,SK PERPADUAN,TAMAN PERPADUAN,31150,ULU KINTA,PERAK,55333859,55333878
Rendah,PPD KINTA SELATAN,ABA2054,SK SENTOSA,TAMAN BANDAR BARU,31900,KAMPAR,PERAK,54669587,54669587
Rendah,PPD KINTA UTARA,ABA2055,SK RAJA CHULAN,DESA CEMPAKA,31400,IPOH,PERAK,55456599,55456599
Rendah,PPD KINTA UTARA,ABA2056,SK TAMAN BERSATU,SIMPANG PULAI,31300,KG KEPAYANG,PERAK,53577355,53573068
Rendah,PPD KINTA UTARA,ABA2057,SK PENGKALAN,TAMAN PINJI MEWAH,31500,LAHAT,PERAK,53226860,53213563
Rendah,PPD KINTA UTARA,ABA2058,SK JATI,"JLN TAMAN JATI 1, TAMAN JATI, JELAPANG",30020,IPOH,PERAK,55286863,55287863
Rendah,PPD KINTA UTARA,ABA2059,SK BANDAR BARU PUTERA,JALAN BERCHAM,31400,IPOH,PERAK,55333959,55331320
Rendah,PPD KINTA UTARA,ABA2060,SK SILIBIN,"PERSIARAN JELAPANG 13,TAMAN SILIBIN",30100,IPOH,PERAK,55264416,55264416
Rendah,PPD KINTA UTARA,ABA2061,SK TASEK DERMAWAN,"KAMPUNG TERSUSUN TASEK, BERCHAM",31400,IPOH,PERAK,55483749,55484751
Rendah,PPD KINTA UTARA,ABA2062,SK SIMPANG PULAI,JALAN BESAR KG MERAWAN INDAH,31300,KG KEPAYANG,PERAK,53572939,53572939
Rendah,PPD KINTA UTARA,ABA2063,SK RAPAT JAYA,KG. RAPAT JAYA TAMBAHAN,31350,IPOH,PERAK,53115996,53115996
Rendah,PPD KINTA UTARA,ABA2064,SK PINJI,PERSIARAN BUNGA RAYA,31650,IPOH,PERAK,53211778,53211778
Rendah,PPD KINTA UTARA,ABA2065,SK JELAPANG JAYA,"LALUAN KERANJI 5, KG DATO' AHMAD SAID TAMBAHAN 3",30020,IPOH,PERAK,55261511,55261511
Rendah,PPD KINTA UTARA,ABA2066,SK BUNTONG,PERSIARAN DESA RISHAH (S) 1/1B,30100,IPOH,PERAK,52810279,52810355
Rendah,PPD KINTA SELATAN,ABA2067,SK SERI JAYA,"KAMPONG SERI JAYA, JALAN CHANGKAT LARANG",31000,BATU GAJAH,PERAK,53651561,53651561
Rendah,PPD KINTA UTARA,ABA2068,SK RAPAT SETIA,JALAN TENAGA,31350,IPOH,PERAK,53135443,53129107
Rendah,PPD KINTA UTARA,ABA2069,SK WIRA JAYA,HALAMAN AMPANG,31350,IPOH,PERAK,53188132,53188131
Rendah,PPD KINTA UTARA,ABA2070,SK SERI MUTIARA,JALAN TUNKU ABDUL RAHMAN,30010,IPOH,PERAK,55061925,55060410
Rendah,PPD KINTA UTARA,ABA2071,SK TASIK DAMAI,JALAN TAWAS BARU UTARA,30010,IPOH,PERAK,52931151,52931151
Rendah,PPD KINTA UTARA,ABA2072,SK PAKATAN JAYA,TAMAN PAKATAN JAYA,31150,ULU KINTA,PERAK,55365685,55365686
Rendah,PPD KINTA UTARA,ABA2073,SK KELEBANG JAYA,PLOT 2597,31200,CHEMOR,PERAK,52912534,52910849
Rendah,PPD KINTA UTARA,ABA2074,SEKOLAH KEBANGSAAN TANAH HITAM,JALAN ULU KUANG,31200,CHEMOR,PERAK,52012145,52012146
Rendah,PPD KRIAN,ABA3001,SK ALOR PONGSU,JALAN SELAMA ALOR PONGSU,34300,BAGAN SERAI,PERAK,57217675,57219167
Rendah,PPD KRIAN,ABA3002,SK BAGAN SERAI,LORONG SEKOLAH,34300,BAGAN SERAI,PERAK,57210423,57219352
Rendah,PPD KRIAN,ABA3003,SK BUKIT MERAH,PEKAN BUKIT MERAH,34310,BAGAN SERAI,PERAK,57218827,57218029
Rendah,PPD KRIAN,ABA3004,SK CHANGKAT LOBAK,CHANGKAT LOBAK,34310,BAGAN SERAI,PERAK,58395732,58395953
